Area Name,DWG Type,Project,Sub-Project,Area Number,Dicipling,Number,Drawing Description (For Title Block),Dwg Name,Service,Area,Line / Tag Number,Drawing Release,Submittal Status,P3D Status,Creation Date,Modif Date,Completed Date,Rev Number
SITE LAYOUT,2D DWG,0673,ACAD,04,C,101,PHASE 1 ROADS AND LAYDOWN,0673-ACAD-04-C-101,,,,,,,,,,
,2D DWG,0673,ACAD,04,C,100,PHASE 1 ROADS AND LAYDOWN,0673-ACAD-04-C-100,,,,,,,,,,
,LAYOUT,0673,AWWTF,04,C,11,PHASE 1 ROADS,0673-AWWTF-04-C-11,,,,,,,,,,
,LAYOUT,0673,AWWTF,04,C,12,PHASE 1 LAYDOWN,0673-AWWTF-04-C-12,,,,,,,,,,
,LAYOUT,0673,AWWTF,04,C,13,PHASE 1 WATERLOOP,0673-AWWTF-04-C-13,,,,,,,,,,
,LAYOUT,0673,AWWTF,04,C,14,PHASE 1 GRADE LINES,0673-AWWTF-04-C-14,,,,,,,,,,
,LAYOUT,0673,AWWTF,04,C,15,PHASE 1 BRURN,0673-AWWTF-04-C-15,,,,,,,,,,
,LAYOUT,0673,AWWTF,04,C,16,PHASE 1 TRAILER,0673-AWWTF-04-C-16,,,,,,,,,,
,LAYOUT,0673,AWWTF,04,C,17,LINK FENCE PERIMETER,0673-AWWTF-04-C-17,,,,,,,,,,
,LAYOUT,0673,AWWTF,04,C,18,"DUCTBANK 11, 16, 17 AND 19 COORDINATES",0673-AWWTF-04-C-18,,,,,,,,,,
,LAYOUT,0673,AWWTF,04,C,18-2,DUCTBANK 11 COORDINATES NORTH,0673-AWWTF-04-C-18-2,,,,,,,,,,
,LAYOUT,0673,AWWTF,04,C,19,BNR CORNDER COORDINATES,0673-AWWTF-04-C-19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CIVIL YARD PIPE,P3D,0673,P3D,03,P,10,YARD PIPE,0673-P3D-03-P-10,,,,,,,,,,
,P3D,0673,P3D,03,P,11,YARD PIPE - DISK FILTER,0673-P3D-03-P-11,,,,,,,,,,
,P3D,0673,P3D,03,P,12,YARD PIPE - REJECT AND LIFT STATIONS,0673-P3D-03-P-12,,,,,,,,,,
,P3D,0673,P3D,03,P,13,YARD PIPE - WATER LOOP,0673-P3D-03-P-13,,,,,,,,,,
,P3D,0673,P3D,03,P,50,PROPOSED WATER LOOP NPW,0673-P3D-03-P-50,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,ORTHO,0673,ORTHO,03,P,10,YARD PIPE,0673-ORTHO-03-P-10,,,,,,,,,,
,LAYOUT,0673,AWWTF,03,P,101,"INFLUENT FM 48"" TO HEADWORKS",0673-AWWTF-03-P-101,,,,,,,,,,
,LAYOUT,0673,AWWTF,03,P,102-1,"REJECT RETURN 24"" TO HEADWORKS",0673-AWWTF-03-P-102-1,,,,,,,,,,
,LAYOUT,0673,AWWTF,03,P,102-2,,,,,,,,,,,,
,LAYOUT,0673,AWWTF,03,P,102-3,,,,,,,,,,,,
,LAYOUT,0673,AWWTF,03,P,102-4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INFLUENTE FLOW METER ASSEMBLY,P3D,0673,P3D,09,P,10,INFLUENT FLOW METER ASSEMBLY,0673-P3D-09-P-10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,LAYOUT,0673,AWWTF,09,M,100,INFLUENT FLOW METER ASSEMBLY,0673-AWWTF-09-M-100,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
BIOLOGICAL TREATMENT BASIN,P3D,0673,P3D,20,P,10,BNR MIX LIQUIR TO CLARIFIER,0673-P3D-20-P-10,,,,,,3D In-Progress,,,,
,ORTHO,0673,AWWTF,20,P,100,ML TO CLARIFIER OVERALL,0673-AWWTF-20-P-100,,,,,,,,,,
,ORTHO,0673,AWWTF,20,P,101,BNR MIX LIQUIR TO CLARIFIER 1 AND 2,0673-AWWTF-20-P-101,,,,,,,,,,
,ORTHO,0673,AWWTF,20,P,102,BNR MIX LIQUIR TO CLARIFIER 1 AND 2,0673-AWWTF-20-P-102,,,,,,,,,,
,ORTHO,0673,AWWTF,20,P,103,BNR MIX LIQUIR TO CLARIFIER 1 AND 2,0673-AWWTF-20-P-103,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,LAYOUT,0673,AWWTF,20,S,,BNR CORNDER COORDINATES,0673-AWWTF-20-S-,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,LAYOUT,0673,AWWTF,20,P,200,BNR MIX LIQUIR RISER,0673-AWWTF-20-P-200,,,,For Review,Submitted,,Scott,,,
,LAYOUT,0673,AWWTF,20,P,201,CLARIFIER MIX LIQUIR RISER,0673-AWWTF-20-P-201,,,,For Review,Submitted,,Scott,,,
,,,,,,,,,,,,,,,,,,
BNR Underslab,LAYOUT,0673,AWWTF,20,P,301,BNR DRAIN TO HEADER,0673-AWWTF-20-P-301,,,,For Review,Not Submitted,,David,,,
BNR Underslab,LAYOUT,0673,AWWTF,20,P,302,BNR DRAIN TO HEADER,0673-AWWTF-20-P-302,,,,For Review,Not Submitted,,David,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CLARIFIERS,P3D,0673,P3D,25,P,10,MIX LIQUIER TO CLARIFIER,0673-P3D-25-P-10,,,,,,,,,,
,P3D,0673,P3D,25,P,20,CLARIFIER DRAIN SYSTEM,0673-P3D-25-P-20,,,,,,,,,,
,ORTHO,0673,AWWTF,25,P,100,MIX LIQUIER TO CLARIFIER,0673-AWWTF-25-P-100,,,,,,,,,,
,ORTHO,0673,AWWTF,25,P,101,BNR TRAIN 1 TO CLARIFIER 1,0673-AWWTF-25-P-101,,,,For Review,Not Submitted,Ortho In-Progress,,,,
,ORTHO,0673,AWWTF,25,P,102,BNR TRAIN 2 TO CLARIFIER 2,0673-AWWTF-25-P-102,,,,For Review,Not Submitted,Ortho In-Progress,,,,
,ORTHO,0673,AWWTF,25,P,103,BNR TRAIN 3 TO CLARIFIER 3,0673-AWWTF-25-P-103,,,,,,,,,,
,ORTHO,0673,AWWTF,25,P,104,BNR TRAIN 4 TO CLARIFIER 4,0673-AWWTF-25-P-104,,,,,,,,,,
,ORTHO,0673,AWWTF,25,P,105,BNR TRAIN 4 TO CLARIFIER 4,0673-AWWTF-25-P-105,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
RAS PUMP STATIONS,P3D,0673,P3D,30,P,10,RAS PUMP PIPING,0673-P3D-30-P-10,,,,,,,,,,
,P3D,0673,P3D,30,P,20,SEC TO DISK FILTERS,0673-P3D-30-P-20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,ORTHO,0673,AWWTF,30,CYP,100,RAS PUMPS OVERALL,0673-AWWTF-30-CYP-100,,,,,,,,,,
,ORTHO,0673,AWWTF,30,CYP,101,"RAS PUMPS STATION 1 TO 36"" HEADER",0673-AWWTF-30-CYP-101,,,,,,,,,,
,ORTHO,0673,AWWTF,30,CYP,102,"RAS PUMPS STATION 2 TO 36"" HEADER",0673-AWWTF-30-CYP-102,,,,,,,,,,
,ORTHO,0673,AWWTF,30,CYP,103,"RAS PUMPS STATION 3 TO 36"" HEADER",0673-AWWTF-30-CYP-103,,,,,,,,,,
,ORTHO,0673,AWWTF,30,CYP,104,"RAS PUMPS STATION 3 TO 36"" HEADER",0673-AWWTF-30-CYP-104,,,,,,,,,,
,ORTHO,0673,AWWTF,30,CYP,105,"RAS HEADER 36"" FROM STATION 1 AND 2",0673-AWWTF-30-CYP-105,,,,,,,,,,
,ORTHO,0673,AWWTF,30,CYP,106,"RAS HEADER 36"" FROM STATION 3 AND 4",0673-AWWTF-30-CYP-106,,,,,,,,,,
,ORTHO,0673,AWWTF,30,CYP,107,"RAS HEADER 48"" TO HEADWORKS",0673-AWWTF-30-CYP-107,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DISK FILTERS,P3D,0673,P3D,35,P,10,DISK FILTERS,0673-P3D-35-P-10,,,,,,,,,,
,ORTHO,0673,AWWTF,35,P,100,CLARIFIER TO DISK FILTER OVERALL,0673-AWWTF-35-P-100,,,,,,,,,,
