Release,Supplier, Review,Tag Number,QTY Released,Unit,Size,Description,Material,Lining,Coating,Release Date,Due Date,Area,System,Contract Dwg,System2,Shop Dwg,Delivered QTY,Need QTY,Received On,Received By,Storage Location,Notes,Estimate Cost,Contract Unit Price,Contract Extended Price,Above/Below,Invoice No.,Invoice Unit Price,Invoice Extended Price,Delta (Invoice-Contract),QTY Invoiced to Date,,
1,KAT,ok,101U-48-01,2,EA,"48"" x 18'-00""",CL53 FLGxPE SPOOL,DI,P401,Primed,2/19/2026,5/4/2026,Headworks,"48"" Influent Force Main + Future 48"" Force Main","60% QAQC - M10-101, M10-202",Plant Influent,,2, ,5/5/2026,David Nigro,Pipe Laydown,,," $37,103.14 "," $74,206.28 ",Riser,3864(2)," $37,103.14 "," $74,206.28 ", $-   ,2,07/22/2026 (2) East side of Headworks (Brittian),
1,KAT,ok,101U-48-02,2,EA,"48""","48"" MJ 90 BEND",DI,P401,Asphaltic,2/19/2026,5/4/2026,Headworks,"48"" Influent Force Main","60% QAQC - M10-101, M10-202",Plant Influent,,2, ,5/4/2026,David Nigro,Pipe Laydown,,," $22,015.00 "," $44,030.00 ",Below,3858(2)," $22,015.00 "," $44,030.00 ", $-   ,2,07/22/2026 (2) Eastside of Headworks (Brittian),
1,KAT,ok,101U-48-03,80,LF,"48""",CL50 DI RJ,DI,P401,Asphaltic,2/19/2026,5/4/2026,Headworks,"48"" Influent Force Main","60% QAQC - M10-101, M10-202",Plant Influent,,78,2,4/20/2026,Brittian Sanders,Pipe Laydown,"78.15 LF delivered 4/20
40 LF GFL",, $967.06 ," $77,364.80 ",Below,3810(78), $967.06 ," $75,575.74 "," $(1,789.06)",78,07/22/2026 (2) (Gauged) Eastside of Headworks (Brittian),
1,KAT,ok,101U-48-04,1,EA,"48""","48"" MJ CAP w/ 2"" NTP TAP",DI,P401,Asphaltic,2/19/2026,5/4/2026,Headworks,"Future 48"" Influent Force Main","60% QAQC - M10-101, M10-202",Plant Influent,,1, ,7/7/2026,Pablo Chapellin,Pipe Laydown ,,,, $-   ,Below,4160(1)," $11,547.00 "," $11,547.00 "," $11,547.00 ",1,,
1,KAT,ok,101U-48-05,5,EA,"48""","48"" Megalug w/ Accessory Kit",,,,2/19/2026,5/4/2026,Headworks,"48"" Influent Force Main",,Plant Influent,,5, ,6/1/2026,David Nigro,Pipe Laydown,,," $2,630.00 "," $13,150.00 ",Below,3885," $2,630.00 "," $13,150.00 ", $-   ,,,
,,,,,,,,,,,,,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
1,KAT,ok,104Ua-30-01,2,EA,"30"" x 14'-06""","CL53 FLGxPE WALL PIPE - FLG TFS NPT WC 16"" FROM FLG",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 and 2,"30"" ML BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",ML,,2, ,5/7/2026,David Nigro,Pipe Laydown,,," $15,448.17 "," $30,896.34 ",Below,3885," $15,448.17 "," $30,896.34 ", $-   ,,,
1,KAT,ok,104Ua-30-02,40,LF,"30""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 and 2,"30"" ML BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",ML,,59,-19,4/20/2026,,Pipe Laydown,"20 LF del 4/20/26
39 LF del 7/2/26",, $405.62 ," $16,224.80 ",Below,3858(20);4179(20), $405.62 ," $23,931.58 "," $7,706.78 ",40,6/2/2026 (1) BNR 2 Southside (Staley),
1,KAT,ok,104Ua-30-03,1,EA,"30""","30"" MJ 90 BEND",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 and 2,"30"" ML BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",ML,,1, ,5/4/2026,David Nigro,Pipe Laydown,,," $6,730.00 "," $6,730.00 ",Below,3858," $6,730.00 "," $6,730.00 ", $-   ,,,
1,KAT,ok ,104Ua-30-05,2,EA,"30""","30"" Megalug w/ Accessory Kit",,,,2/19/2026,5/4/2026,BNR 1 and 2,"30"" ML BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",ML,,2, ,6/12/2026,Chelsea Vohwinkle,Pipe Laydown,,," $1,061.00 "," $2,122.00 ",Below,4028," $1,061.00 "," $2,122.00 ", $-   ,,6/2/2026 (2) BNR 2 Southside (Staley),
